sku	причина	rz_id	категорія	характеристик постачальника	характеристик після фільтрів	характеристики	назва
1013900212	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач із двома захватами рельс з фіксацією посилений 38х65мм Стандарт (SK2R2U)
1013900217	менше 3 характеристик	3510569	Фрези	2	2	Бренд | Кількість у наборі	Комплект каменів до хону L= 100 мм 3 од. Toptul (JLAF1804)
1013900220	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Зйомник рульових і кульових ВАЗ 2108-2110 ХЗСО СРТ08КрЛ Без бренда (TRP2108)
1013900736	менше 3 характеристик	4630800	Ремонтні комплекти кермових механізмів	1	1	Бренд	Ключ для підтягування рейки ВАЗ 2110 ХЗСО (STRT211)
1013900748	менше 3 характеристик	4673722	Пневмопістолети будівельні	1	1	Бренд	Продувний пістолет 100 мм Airkraft (ABG-01)
1013900753	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Знімач сайлентблоків ВАЗ 2101-2107 Червоний Промінь Без бренда (ССБЖКрЛ)
1013900759	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач тризахопний 500 мм 20" Стандарт (SK3L20)
1013900777	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач підшипників 300 мм тризахопний 12" Стандарт (SP312ST)
1013900785	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Тип	Інструмент для установки стрічкових хомутів ШРУСа Toptul (JEAE0423)
1013900788	менше 3 характеристик	298224	Набори інструментів	1	1	Бренд	Притирка клапанів із карданом d5 довга ХЗСО (VGT0501)
1013900802	менше 3 характеристик	2798762	Викрутки	2	2	Бренд | Матеріал ручки	Викрутка для ніпелів 30 мм Airkraft (VTC-03A)
1013900809	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач тризахопний 400 мм 16" Стандарт (SK3L16)
1013900810	менше 3 характеристик	3510569	Фрези	1	1	Бренд	Ніж для зенкеров розсувних 25.4-3 3шт. Харків Без бренда (НОЖШАР25)
1013900816	менше 3 характеристик	4670023	Кліщі	1	1	Бренд	Кліщі для балансувальних тягарців Стандарт (KLBAL)
1013900829	менше 3 характеристик	4668865	Динамометричні ключі	1	1	Бренд	Ремкомплект для динамометричного ключа ANAS1635 Toptul (ALAL1635)
1013900831	менше 3 характеристик	155534	Універсальні мийки	2	2	Бренд | Гарантійний термін	Мийка деталей для автосервісу 150 л TORIN (TRG4001-40)
1013900835	менше 3 характеристик	4668865	Динамометричні ключі	2	2	Бренд | Діаметр	Шкала доворотна Toptul (JDAW1602)
1013900849	менше 3 характеристик	4670626	Аксесуари та супутні товари для зварювального устаткування	1	1	Бренд	Електрод для хвилястого дроту G.I. KRAFT G.I.Kraft (GI12165)
1013900882	менше 3 характеристик	4668865	Динамометричні ключі	1	1	Бренд	Ремкомплект для динамометричного ключа ANAF0803 Toptul (ALAD0803)
1013900885	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач двозахопний кований великий 250 мм Харків СК2ЛБКІВ Без бренда (СК2ЛБКОВ)
1013900887	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач підшипників 100 мм трилапий 4" Стандарт (SK3L4)
1013900899	менше 3 характеристик	4654188	Рихтувальне обладнання	2	2	Бренд | Тип	Стенд для відновлення геометрії кузова стапель Без бренда (VE-800B)
1013900900	менше 3 характеристик	2798757	Зубило, керн, пробійник	1	1	Бренд	Набір зубил для пневмолотка RP7621 4 шт Airkraft (RP7002)
1013900901	менше 3 характеристик	4654188	Рихтувальне обладнання	2	2	Бренд | Розмір	Пристосування для рихтування кузова автомобіля Toptul (JFBG0112)
1013900906	менше 3 характеристик	4654188	Рихтувальне обладнання	2	2	Бренд | Тягове зусилля	Захоплення рихтувальний 5 т Toptul (JFDC0105)
1013900909	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Стан	Стяжка пружин стаціонарна механічна TORIN (TRK1500-3)
1013900950	менше 3 характеристик	4668907	Імбусові ключі	2	2	Бренд | Тип ключа	Набір ключів TORX Г-обр. з отвором 9 од. Стандарт (TKS0901)
1013900968	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач із фіксацією двозахопний рельс 40х80мм Без бренда (SK2R3F)
1013900971	менше 3 характеристик	4644008	Тестери і вимірники автомобільні	2	2	Бренд | Гарантійний термін	Лампа для автоскладоскопа Trisco (TL-020)
1013900979	менше 3 характеристик	4649526	Паяльники для пластикових труб	2	2	Бренд | Напруга живлення	Термостеплер для ремонту пластикових деталей Trisco (WS-303)
1013901270	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач підшипників 200 мм трилапий 8" Стандарт (SK3L8)
1013901318	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Знімач рульової сошки Червоний Промінь Без бренда (СОШККрЛ)
1013901328	менше 3 характеристик	4668961	Інструмент для змащувальних матеріалів	2	2	Бренд | Тип приводу бочкового насоса	Оливний насос для бочок 200 літрів G.I.Kraft (K-490c)
1013901341	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач дволапий рильс малий Харків Без бренда (СК2ЛРМ)
1013901350	менше 3 характеристик	2798762	Викрутки	2	2	Бренд | Матеріал ручки	Викрутка для ніпелей довга 170 мм Airkraft (VTC-03B)
1013901355	менше 3 характеристик	4668943	Ключі розрізні	1	1	Бренд	Ключ прокачування гальм 9х11 мм затискний Харків Без бренда (ПР0911Х)
1013901363	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач 3-лапий 800 мм жовтий СК4ЛЖЕЛ800 ХЗСО (GP3J800)
1013901380	менше 3 характеристик	4673722	Пневмопістолети будівельні	2	2	Бренд | Робочий тиск	Пістолет піскоструминний із нижнім бачком Airkraft (PS-4A)
1013901394	менше 3 характеристик	4670626	Аксесуари та супутні товари для зварювального устаткування	1	1	Бренд	OT-шайба для споттера 20шт. Харків Україна Без бренда (ОТШайба)
1013901415	менше 3 характеристик	4654188	Рихтувальне обладнання	2	2	Бренд | Тип	Пристрій для рихтування автомобіля 850 мм 4 упори G.I.Kraft (GI12205)
1013901436	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Ключ для маслосливних пробок квадрат 9мм Москвич Харків КВ9Х Без бренда (SQRT0009)
1013901467	менше 3 характеристик	4644008	Тестери і вимірники автомобільні	2	2	Бренд | Гарантійний термін	Стробоскоп для запалювання Квазар Жовті Води Без бренда (СТРОБКВ)
1013901482	менше 3 характеристик	4668943	Ключі розрізні	2	2	Бренд | Гарантійний термін	Ключ прокачки 9х11мм зажимний СНГ Без бренда (ПР0911В)
1013901487	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Стяжки пружин 370 мм двозахопні Стандарт (ST370D)
1013901501	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач із фіксацією дво-тризахопний 150-200 мм Стандарт (SK23L6)
1013901807	менше 3 характеристик	4673722	Пневмопістолети будівельні	2	2	Бренд | Гарантійний термін	Пневмопістолет продувний короткий 6.2 бар Airkraft (DG-10-1)
1013901814	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Зйомник шарового Москвич Красний Луч Без бренда (СШОМОСКВ)
1013901854	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Вид	Знімач поршневих кілець 53-125мм 3" Toptul (JAAA1303)
1013901860	менше 3 характеристик	4674187	Пневмопістолети для накачки шин	2	2	Бренд | Гарантійний термін	Насадка для накачування коліс 250 мм Airkraft (DTC-12)
1013901862	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач дво/тризахопний 8" редукторний 10 т 75-200 мм Стандарт (SK23L8R10)
1013901870	менше 3 характеристик	154981	Фарбопульти	1	2	Бренд | Тип	Ремонтний комплект для краскопультів H-1001A Italco (RK-H-1001A)
1013901877	менше 3 характеристик	154981	Фарбопульти	1	2	Бренд | Тип	Ремкомплект для краскопультів W-871 Auarita (RK-W-871)
1013901878	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Знімач рульових тяг ВАЗ 2101-2107 Червоний Промінь СРТЖКрЛ Без бренда (TRP2101)
1013901883	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Знімач крильчатки помпи Харків-1 Без бренда (СКРПОМП)
1013901891	менше 3 характеристик	4668961	Інструмент для змащувальних матеріалів	2	2	Ємність бака | Бренд	Нагнітач консистентного мастила пневматичний TORIN (TRG2095)
1013901901	менше 3 характеристик	4670017	Плоскогубці, щипці	2	2	Бренд | Довжина	Пінцет 110 мм Toptul (JJAV0411)
1013901911	менше 3 характеристик	154981	Фарбопульти	1	2	Бренд | Тип	Ремкомплект для краскопультів H-929 Italco (RK-H-929)
1013901934	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Ключ амортизаторний універсальний Харків-1 АМУН Без бренда (WSM0202)
1013901943	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач із двома захватами рельс з фіксацією посилений 35х45 мм Стандарт (SK2R1U)
1013901944	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Стяжки пружин 250 мм бугельні ХЗСО (SCY0250)
1013901946	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Розсухарювач клапанів МОСКВІЧ Харків РАС-М Без бренда (VSC003M)
1013901952	менше 3 характеристик	4654188	Рихтувальне обладнання	2	2	Бренд | Розмір	Оправка рихтувальна Toptul (JFBE0315)
1013901962	менше 3 характеристик	4654188	Рихтувальне обладнання	2	2	Бренд | Розмір	Пристосування для рихтування кузова автомобіля Toptul (JFBG0312)
1013901965	менше 3 характеристик	4654188	Рихтувальне обладнання	2	2	Бренд | Тип	Підкатний стапель для кузовного ремонту Без бренда (VE-700)
1013901973	менше 3 характеристик	154981	Фарбопульти	1	2	Бренд | Тип	Ремкомплект для краскопультів H-923 Auarita (RK-H-923)
1013901974	менше 3 характеристик	4668943	Ключі розрізні	2	2	Бренд | Гарантійний термін	Ключ для гальмівних трубок 8х10мм затискний СНД Без бренда (ПР0810В)
1013901982	менше 3 характеристик	154981	Фарбопульти	1	2	Бренд | Тип	Ремкомплект для краскопультів H-970 Auarita (RK-H-970)
1013901988	менше 3 характеристик	154981	Фарбопульти	1	2	Бренд | Тип	Ремкомплект для краскопультів TTS-TE10 Italco (RK-TTS-TE10)
1013901995	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Гарантійний термін	Ключ для розбирання стійок 19мм WV AUDI Київ Без бренда (КРСВК19)
1013902004	менше 3 характеристик	4674187	Пневмопістолети для накачки шин	1	1	Бренд	Манометр для пістолета підкачування шин STG-29 різь ззаду Airkraft (MAN-STG-29G)
1013902011	менше 3 характеристик	4670626	Аксесуари та супутні товари для зварювального устаткування	1	1	Бренд	Затискач болта для спотера G.I. KRAFT G.I.Kraft (GI12157)
1013902027	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач підшипників 250 мм трилапий 10" Стандарт (SP310ST)
1013902033	менше 3 характеристик	298224	Набори інструментів	1	1	Бренд	Притирання клапанів з карданом d8 довга ХЗСО Без бренда (VGT0801)
1013902046	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач двозахопний рельс No1 60х70мм Стандарт (SK2R1)
1013902050	менше 3 характеристик	4670626	Аксесуари та супутні товари для зварювального устаткування	1	1	Бренд	Комплект аксесуарів до спотера G.I. KRAFT G.I.Kraft (GI12150)
1013902372	менше 3 характеристик	2798757	Зубило, керн, пробійник	2	2	Бренд | Довжина інструмента	Крайкогин ХЗСО (HMF0101)
1013902407	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Ключ для кришки паливного насоса універсальний HESHITOOLS Стандарт (SKTN0349)
1013902409	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Знімачі пружин 119 мм Стандарт (ST250S)
1013902412	менше 3 характеристик	4668907	Імбусові ключі	2	2	Бренд | Тип ключа	Набір ключів TORX Г-обр. з отвором 7 од. Стандарт (TKS0701)
1013902423	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Зтягувач шарових опор і рулевих тяг універсальний литий Харьков Без бренда (СРТУЛ)
1013902432	менше 3 характеристик	4654188	Рихтувальне обладнання	2	2	Бренд | Розмір	Пристосування для рихтування автомобіля Toptul (JFCB0229)
1013902438	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Універсальний знімач підшипників маточини 45-74 мм ХЗСО (MBP0801)
1013902441	менше 3 характеристик	3510569	Фрези	1	1	Бренд	Ніж для зенкеров розсувних 40-3 1 шт. Харків Без бренда (НОЖШАР40)
1013902443	менше 3 характеристик	4668961	Інструмент для змащувальних матеріалів	2	2	Ємність бака | Бренд	Вакуумне встановлення для заміни оливи з мірною колбою 80 л G.I.Kraft (B8010KVS)
1013902455	менше 3 характеристик	4654188	Рихтувальне обладнання	2	2	Бренд | Тип	Стапель платформний для рихтування Без бренда (WT-400)
1013902462	менше 3 характеристик	4668961	Інструмент для змащувальних матеріалів	1	1	Бренд	Шланг для плунжерного шприца 9" 230 мм G.I. KRAFT G.I.Kraft (K-401-9)
1013902478	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач підшипників двозахопний 8" 200 мм Стандарт (SP208ST)
1013902480	менше 3 характеристик	4676159	Автоклімат	2	2	Бренд | Гарантійний термін	Комплект для промивання системи кондиціонування для AC690/790PRO G.I. KRAFT Robinair (ACT550-SFK)
1013902492	менше 3 характеристик	155293	Пускозарядні пристрої	2	2	Бренд | Тип	Пусковий зарядний пристрій 12/24 V 1500 A 380 V G.I.Kraft (GI35113)
1013902493	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач із фіксацією двозахопний 200-250 мм Стандарт (SK23L8)
1013902512	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Ключ для розбирання дизельних форсунок 10 мм КРФШГР Без бренда (DIDW0101)
1013902522	менше 3 характеристик	4668865	Динамометричні ключі	1	1	Бренд	Ремкомплект для динамометричного ключа ANAA2470 Toptul (ALAD2470)
1013902525	менше 3 характеристик	4654188	Рихтувальне обладнання	2	2	Бренд | Тягове зусилля	Захоплення рихтувальний 3 5 т Toptul (JFDE0205)
1013902532	менше 3 характеристик	4668961	Інструмент для змащувальних матеріалів	2	2	Бренд | Об'єм	Шприц важільно-плунжерний 400 мл G.I.Kraft (KL-467)
1013902553	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач 2-лапий 10" 250 мм Стандарт (SK2L10)
1013902571	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Тип двигуна	Знімач для дизельних форсунок d28 Без бренда (КРФ28)
1013902578	менше 3 характеристик	154981	Фарбопульти	1	2	Бренд | Тип	Ремонтний комплект для краскопультів AB-17G Auarita (RK-AB-17G)
1013902581	менше 3 характеристик	4654188	Рихтувальне обладнання	2	2	Бренд | Розмір	Рихтове пристосування Toptul (JFBE0113)
1013902589	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Рассухариватель ВОЛГА Харьков-1 Без бренда (РАС-ВРХ)
1013902889	менше 3 характеристик	4670641	Зварювальні апарати	1	1	Бренд	Індукційна котушка спіраль діам. 3/4" для IND-1000W G.I.Kraft (34-COIL)
1013902892	менше 3 характеристик	4673722	Пневмопістолети будівельні	1	1	Бренд	Насадка керамічна сопло для піскоструминного пістолета Auarita (NS-PS-3)
1013902897	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Ключ для зняття стійок і розбирання рейки ВАЗ 2108-2109 ХЗСО (SW32108)
1013902906	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Знімач пиляків ШРУСа пневматичний Toptul (JEBE0111)
1013902922	менше 3 характеристик	4668865	Динамометричні ключі	1	1	Бренд	Ремкомплект для динамометричного ключа ANAS2480 Toptul (ALAL2480)
1013902924	менше 3 характеристик	4654188	Рихтувальне обладнання	2	2	Бренд | Розмір	Пристосування для рихтування автомобіля Toptul (JFCA0127)
1013902944	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Знімач реактивних тяг ВАЗ 2101-2107 куля Харків-1 РЕАКТИВ-Куля Без бренда (EXRP2101)
1013902952	менше 3 характеристик	4670641	Зварювальні апарати	1	1	Бренд	Індукційний кабель гнучкий довжина 1000мм для IND-1000W G.I.Kraft (FLEX-COIL)
1013902954	менше 3 характеристик	4654244	Ендоскопи автомобільні	2	2	Бренд | Гарантійний термін	Лінза 35° до ендоскопу JJAU0418 Toptul (JLAB0435)
1013902955	менше 3 характеристик	4673713	Пристрої підготовки та очищення повітря	2	2	Бренд | Вага	Регулятор тиску повітря цифровий для фарбопульта Italco (FR7)
1013902956	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Гарантійний термін	Знімач дизельних форсунок CDI з витяжним шпинделем MB-Sprinter Vito ХЗСО (CDRT0601)
1013902962	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач дволапий 3" 75 мм Стандарт (SK2L3)
1013902965	менше 3 характеристик	4644008	Тестери і вимірники автомобільні	2	2	Бренд | Тип	Тестер інжекторів універсальний Toptul (JGAI0703)
1013949141	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач підшипників тризахопний 75 мм 3" Стандарт (SK3L3)
1013949151	менше 3 характеристик	4660202	Кримпери	2	2	Бренд | Тип інструмента	Знімач ізоляції автоматичний Стандарт (MWS0101)
1013949156	менше 3 характеристик	4668961	Інструмент для змащувальних матеріалів	1	1	Бренд	Набір насадок для шприц-оливки 7 од. G.I.Kraft (K-410)
1013949171	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Ключ для зняття задніх стійок ВАЗ 2108-2109 ХЗСО (BSSW2108)
1013949179	менше 3 характеристик	154981	Фарбопульти	1	2	Бренд | Тип	Ремкомплект для фарбувальних пістолетів ST-2000 RK-ST-2000 Auarita (RK-H-2002)
1013949193	менше 3 характеристик	4668865	Динамометричні ключі	1	2	Бренд | Розмір посадкового квадрата	Динамометричний ключ з індикацією 10-100Нм цифровий 3/8" DT-100N0 Toptul (DT-100N)
1013949208	менше 3 характеристик	4654188	Рихтувальне обладнання	2	2	Бренд | Розмір	Оправка рихтувальна Toptul (JFBA0108)
1013949209	менше 3 характеристик	2798757	Зубило, керн, пробійник	1	1	Бренд	Пружинний фіксатор для пневмозубила KAHA3217 Toptul (KAEK017A)
1013949210	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Знімач сепараторного типу великий ХЗСО (BRSP2373)
1013949211	менше 3 характеристик	4668961	Інструмент для змащувальних матеріалів	1	1	Бренд	Комплект щупів до встановлення для заміни оливи B8010KVS G.I. KRAFT G.I.Kraft (XB80KSH)
1013949232	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Знімач ступинкових підшипників ВАЗ 2101-2107 ПОДШСТЖ ХЗСО (HBP0501)
1013949253	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач 3-х захватний кований 300мм павук Харків Без бренда (СК3ЛКОВСР)
1013949257	менше 3 характеристик	4649526	Паяльники для пластикових труб	2	2	Бренд | Напруга живлення	Апарат для ремонту пластикових деталей GI KRAFT G.I.Kraft (GI12124)
1013949261	менше 3 характеристик	4673722	Пневмопістолети будівельні	1	1	Бренд	Пістолет продувний з подовженим соплом 300 мм Auarita (BG-2)
1013949267	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Дволапий знімач підшипників 10" 250 мм Стандарт (SP210ST)
1013949270	менше 3 характеристик	4668961	Інструмент для змащувальних матеріалів	2	2	Бренд | Об'єм	Шприц важільно-плунжерний для змащення 400 мл G.I.Kraft (KL-451)
1013949282	менше 3 характеристик	298224	Набори інструментів	1	1	Бренд	Регулювання клапанів ВАЗ 2108-2109 Харків Без бренда (РЕГ08Х)
1013949285	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач підшипників універсальний дво-тризахопний з фіксацією 75-100 мм Стандарт (SK23L3)
1013949311	менше 3 характеристик	4673722	Пневмопістолети будівельні	1	1	Бренд	Пістолет продувний короткий із додатковим наконечником 80 мм Airkraft (DG-10-1-3)
1013949316	менше 3 характеристик	4630800	Ремонтні комплекти кермових механізмів	1	1	Бренд	Ключ для розбирання рейки ВАЗ 2108-2109 цементований Харків КРРЕЙ08ХЦ Без бренда (SRDW2108)
1013949320	менше 3 характеристик	4654188	Рихтувальне обладнання	2	2	Бренд | Розмір	Рихтувальне пристосування Toptul (JFCC0140)
1013949322	менше 3 характеристик	4644008	Тестери і вимірники автомобільні	2	2	Бренд | Гарантійний термін	Вакуум тестер Trisco (G-311)
1013949341	менше 3 характеристик	298224	Набори інструментів	1	1	Бренд	Притирка клапанів із карданом d7 довга ХЗСО (VGT0701)
1013949369	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач дво/тризахопний 8" редукторний 5 т 75-200 мм Стандарт (SK23L8R5)
1013949383	менше 3 характеристик	4670641	Зварювальні апарати	1	1	Бренд	Індукційний дріт довжина 600 мм для IND-1000W G.I.Kraft (U-COIL)
1013949779	менше 3 характеристик	4668865	Динамометричні ключі	1	1	Бренд	Ремкомплект для динамометричного ключа ANAA3298 Toptul (ALAD3298)
1013949788	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Знімач сальників клапанів і підшипників колінвала СКХ+ ХЗСО (SSVP001)
1013949795	менше 3 характеристик	4644008	Тестери і вимірники автомобільні	2	2	Бренд | Гарантійний термін	Набір для чищення інжекторів PRO-Line G.I.Kraft (GI20113)
1013949804	менше 3 характеристик	4674187	Пневмопістолети для накачки шин	2	2	Бренд | Робочий тиск	Пістолет для підкачування коліс із манометром 12 бар Airkraft (STG-08)
1013949807	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Знімач п'ятиопераційний Волга ХЗСО СК5ОП Без бренда (VLG05OPL)
1013949814	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Знімач для зняття рульової тяги Бус великий посилений Харків СРТБУСБ_У Без бренда (TRPB035)
1013949815	менше 3 характеристик	4654188	Рихтувальне обладнання	1	1	Бренд	Зажим для кузовних робіт 2 5 т Toptul (JFDC0205)
1013949822	менше 3 характеристик	4654188	Рихтувальне обладнання	1	1	Бренд	Рихтувальний інструмент puller G.I.Kraft (GI12208)
1013949827	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Тип	Ключ для натяжного ролика Приора ХЗСО (BTTP1403)
1013949831	менше 3 характеристик	155293	Пускозарядні пристрої	2	2	Бренд | Тип	Пускозарядний пристрій 12/24 V 1800A 380V G.I.Kraft (GI35114)
1013949848	менше 3 характеристик	4644008	Тестери і вимірники автомобільні	2	2	Бренд | Гарантійний термін	Вакууметр Trisco (G-310)
1013949867	менше 3 характеристик	2798757	Зубило, керн, пробійник	2	2	Бренд | Тип інструмента	Харків Без бренда (КЕРН)
1013949905	менше 3 характеристик	4654188	Рихтувальне обладнання	2	2	Бренд | Розмір	Пристосування для рихтування кузова автомобіля Toptul (JFBH0107)
1013949909	менше 3 характеристик	3510485	Патрони та перехідники	1	1	Бренд	Перехідник з отвором 3/8"х1/2" Стандарт (PR3812)
1013949925	менше 3 характеристик	4670626	Аксесуари та супутні товари для зварювального устаткування	1	1	Бренд	Хвилястий дріт для спотера 15 шт. G.I. KRAFT G.I.Kraft (GI12151)
1013949937	менше 3 характеристик	4668907	Імбусові ключі	2	2	Бренд | Тип ключа	Набір шестигранників Г-подібних 7ед. Стандарт (HKS0701)
1013949953	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач підшипників 200 мм трилапий 8" Стандарт (SP308ST)
1013949967	менше 3 характеристик	4673722	Пневмопістолети будівельні	1	1	Бренд	Пістолет продувний довгий 300 мм Airkraft (ABG-01A)
1013949993	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Тип	Ключ для заміни ременя ГРМ 08-09 Харків-1 Без бренда (РОЛ08Х)
1013950001	менше 3 характеристик	298224	Набори інструментів	2	2	Бренд | Довжина	Пристрій для чищення клем АКБ Toptul (JDBV3984)
1013950774	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Ключ амортизатора ВАЗ Москвіч СНГ ХЗСО (WSA0101)
1013950793	менше 3 характеристик	4673713	Пристрої підготовки та очищення повітря	2	2	Бренд | Вага	Регулятор тиску з манометром для фарбопульта Italco (FR5)
1013950805	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач із двома захватами 6" 150 мм Стандарт (SK2L6)
1013950807	менше 3 характеристик	4673722	Пневмопістолети будівельні	1	1	Бренд	Насадка керамічна сопло для піскоструминного пістолета Auarita (NS-PS-2)
1013950811	менше 3 характеристик	4670626	Аксесуари та супутні товари для зварювального устаткування	1	1	Бренд	Клейовий стрижень для спотера G.I. KRAFT G.I.Kraft (GI12160)
1013950822	менше 3 характеристик	4644008	Тестери і вимірники автомобільні	2	2	Бренд | Гарантійний термін	Цифровий стробоскоп з аналізатором Trisco (DA-3100NS)
1013950832	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Знімач шарових куточок універсальний Харків-1 Без бренда (УГОЛХ)
1013950862	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Ключ для розбирання стійок ВАЗ 2108-2109 під ключ ХЗСО (SNS2108)
1013950892	менше 3 характеристик	4654188	Рихтувальне обладнання	2	2	Бренд | Тягове зусилля	Зажим для кузовних робіт 5 т Toptul (JFDA0105)
1013950899	менше 3 характеристик	298224	Набори інструментів	1	1	Бренд	Притирка клапанів з карданом d9 довга Харків ХЗСО (VGT0901)
1013950906	менше 3 характеристик	4654188	Рихтувальне обладнання	1	1	Бренд	Захват для кузовних робіт 2 3 т Toptul (JFDB0203)
1013950948	менше 3 характеристик	4668961	Інструмент для змащувальних матеріалів	1	1	Бренд	Гнучкий шланг до шприц-оливниці 12" 300 мм G.I. KRAFT G.I.Kraft (K-401-12)
1013951124	менше 3 характеристик	154981	Фарбопульти	1	2	Бренд | Тип	Ремкомплект для краскопультів H-921-MINI Auarita (RK-H-921-MINI)
1013951128	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Гарантійний термін	Ключ для розбирання стійок 22мм WV AUDI Київ Без бренда (КРСВК)
1013951138	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Сумісність із маркою	Зйемак сайлентблоків НИВА Красний Луч Без бренда (ССБНИВА)
1013951148	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Стяжка пружин центральна з підшипником ВАЗ ХЗСО (CSC2101)
1013951157	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач 2-лапий 14" 350 мм Стандарт (SK2L14)
1013951177	менше 3 характеристик	4654188	Рихтувальне обладнання	2	2	Бренд | Розмір	Рихтувальне пристосування Toptul (JFBD0208)
1013951186	менше 3 характеристик	4668961	Інструмент для змащувальних матеріалів	2	2	Ємність бака | Бренд	Встановлення для збору відпрацьованої оливи металева 80 л G.I.Kraft (B80S)
1013951197	менше 3 характеристик	154981	Фарбопульти	1	2	Бренд | Тип	Ремкомплект для краскопультів H-891 Auarita (RK-H-891)
1013951209	менше 3 характеристик	4654251	Інспекційне світло для СТО	2	2	Бренд | Тип живлення	Світильник-переноска 20 м Стандарт (ПЕР20С)
1013951211	менше 3 характеристик	80247	Інфрачервоні обігрівачі	1	1	Бренд	ІЧ-сушарка G.I.Kraft (GI15115)
