ID,Рівень 1,Рівень 2,Рівень 3,Рівень 4,Рівень 5,"Категорія останнього рівня, (для використання в атрибутах)",Роялті
3258,Медичні товари,Домашня аптека,Перев'язувальний матеріал,,,Перев'язувальний матеріал,
8652,Медичні товари,Домашня аптека,Таблетниці,,,Таблетниці,
5386,Медичні товари,Домашня аптека,Тести на вагітність,,,Тести на вагітність,
8355,Медичні товари,Домашня аптека,Шприци,,,Шприци,
6506,Медичні товари,Засоби реабілітації,Засоби по догляду за стомою,,,Засоби по догляду за стомою,
6623,Медичні товари,Засоби реабілітації,Інвалідні візки,,,Інвалідні візки,
6589,Медичні товари,Засоби реабілітації,Медичне приладдя для ванної,,,Медичне приладдя для ванної,
6458,Медичні товари,Засоби реабілітації,Медичне приладдя для туалету,,,Медичне приладдя для туалету,
6513,Медичні товари,Засоби реабілітації,Милиці,,,Милиці,
6866,Медичні товари,Засоби реабілітації,Пристосування для людей з інвалідністю,,,Пристосування для людей з інвалідністю,
6591,Медичні товари,Засоби реабілітації,Товари для догляду за хворими,,,Товари для догляду за хворими,
6731,Медичні товари,Засоби реабілітації,Тростини,,,Тростини,
5469,Медичні товари,Засоби реабілітації,Туалетні стільці,,,Туалетні стільці,
6578,Медичні товари,Засоби реабілітації,Ходунки для дорослих,,,Ходунки для дорослих,
8307,Медичні товари,Лабораторний посуд,,,,Лабораторний посуд,
8575,Медичні товари,Лікарська рослинна сировина,,,,Лікарська рослинна сировина,
8015,Медичні товари,Ліки,Антибіотики,,,Антибіотики,
8016,Медичні товари,Ліки,Вакцини,,,Вакцини,
8018,Медичні товари,Ліки,Гомеопатія,,,Гомеопатія,
6048,Медичні товари,Ліки,Гормональні препарати,,,Гормональні препарати,
8073,Медичні товари,Ліки,Дерматологічні препарати,Засоби для обробки ран,,Засоби для обробки ран,
6043,Медичні товари,Ліки,Дерматологічні препарати,Інші дерматологічні препарати,,Інші дерматологічні препарати,
7672,Медичні товари,Ліки,Дерматологічні препарати,Ліки від герпесу,,Ліки від герпесу,
8075,Медичні товари,Ліки,Дерматологічні препарати,Місцева анестезія,,Місцева анестезія,
8074,Медичні товари,Ліки,Дерматологічні препарати,"Препарати від дерматиту, екземи та свербежу",,"Препарати від дерматиту, екземи та свербежу",
8076,Медичні товари,Ліки,Дерматологічні препарати,"Препарати від опіків, подряпин та укусів комах",,"Препарати від опіків, подряпин та укусів комах",
8036,Медичні товари,Ліки,Засоби від вошей,,,Засоби від вошей,
5965,Медичні товари,Ліки,Засоби від шкідливих звичок,Засоби від куріння,,Засоби від куріння,
5966,Медичні товари,Ліки,Засоби від шкідливих звичок,Засоби від похмілля,,Засоби від похмілля,
5964,Медичні товари,Ліки,Засоби від шкідливих звичок,Ліки від алкоголізму,,Ліки від алкоголізму,
6032,Медичні товари,Ліки,Імунопрепарати,Імунні сироватки,,Імунні сироватки,
6033,Медичні товари,Ліки,Імунопрепарати,Імуноглобуліни,,Імуноглобуліни,
6031,Медичні товари,Ліки,Імунопрепарати,Імунодепресанти,,Імунодепресанти,
6044,Медичні товари,Ліки,Імунопрепарати,Інші імунопрепарати,,Інші імунопрепарати,
5967,Медичні товари,Ліки,Інші ліки,Антидоти,,Антидоти,
5968,Медичні товари,Ліки,Інші ліки,Бактеріофаги,,Бактеріофаги,
5970,Медичні товари,Ліки,Інші ліки,Контрастні препарати,,Контрастні препарати,
5969,Медичні товари,Ліки,Інші ліки,Препарати для парентерального харчування,,Препарати для парентерального харчування,
5971,Медичні товари,Ліки,Інші ліки,Протиблювотні препарати,,Протиблювотні препарати,
5974,Медичні товари,Ліки,Інші ліки,Протимікробні препарати,,Протимікробні препарати,
5972,Медичні товари,Ліки,Інші ліки,Протитуберкульозні препарати,,Протитуберкульозні препарати,
5973,Медичні товари,Ліки,Інші ліки,Розчини для внутрішньовенного введення,,Розчини для внутрішньовенного введення,
6018,Медичні товари,Ліки,Ліки від алергії,Інші препарати від алергії,,Інші препарати від алергії,
6016,Медичні товари,Ліки,Ліки від алергії,Назальні прояви алергії,,Назальні прояви алергії,
6015,Медичні товари,Ліки,Ліки від алергії,Очні прояви алергії,,Очні прояви алергії,
6017,Медичні товари,Ліки,Ліки від алергії,Шкірні прояви алергії,,Шкірні прояви алергії,
8019,Медичні товари,Ліки,Ліки від астми,,,Ліки від астми,
8067,Медичні товари,Ліки,Ліки від діабету,Інсулін,,Інсулін,
8068,Медичні товари,Ліки,Ліки від діабету,Інші ліки від діабету,,Інші ліки від діабету,
8066,Медичні товари,Ліки,Ліки від діабету,Препарати для зниження рівня цукру,,Препарати для зниження рівня цукру,
8072,Медичні товари,Ліки,Ліки від паразитів,Засоби від корости,,Засоби від корости,
8069,Медичні товари,Ліки,Ліки від паразитів,Ліки від амебіазу,,Ліки від амебіазу,
8071,Медичні товари,Ліки,Ліки від паразитів,Протигельмінтні препарати,,Протигельмінтні препарати,
6036,Медичні товари,Ліки,Лікування сечової системи,Інші препарати для лікування сечової системи,,Інші препарати для лікування сечової системи,
6035,Медичні товари,Ліки,Лікування сечової системи,Ліки від циститу,,Ліки від циститу,
6034,Медичні товари,Ліки,Лікування сечової системи,Лікування хвороб нирок,,Лікування хвороб нирок,
6021,Медичні товари,Ліки,Препарати від грипу і застуди,Імуномодулятори та імуностимулятори,,Імуномодулятори та імуностимулятори,
6025,Медичні товари,Ліки,Препарати від грипу і застуди,Інші ліки від грипу та застуди,,Інші ліки від грипу та застуди,
6022,Медичні товари,Ліки,Препарати від грипу і застуди,Ліки від болю в горлі,,Ліки від болю в горлі,
6024,Медичні товари,Ліки,Препарати від грипу і застуди,"Ліки від гаймориту, нежиті й закладеності носа",,"Ліки від гаймориту, нежиті й закладеності носа",
6023,Медичні товари,Ліки,Препарати від грипу і застуди,Ліки від кашлю,,Ліки від кашлю,
6020,Медичні товари,Ліки,Препарати від грипу і застуди,Ліки від симптомів застуди,,Ліки від симптомів застуди,
6019,Медичні товари,Ліки,Препарати від грипу і застуди,Противірусні препарати,,Противірусні препарати,
6039,Медичні товари,Ліки,Препарати для жіночого здоров'я,Жіночі контрацептиви,,Жіночі контрацептиви,
6040,Медичні товари,Ліки,Препарати для жіночого здоров'я,Інші жіночі препарати,,Інші жіночі препарати,
6037,Медичні товари,Ліки,Препарати для жіночого здоров'я,Лікування молочниці,,Лікування молочниці,
6038,Медичні товари,Ліки,Препарати для жіночого здоров'я,Препарати при менопаузі,,Препарати при менопаузі,
8029,Медичні товари,Ліки,Препарати для лікування вушних захворювань,,,Препарати для лікування вушних захворювань,
6045,Медичні товари,Ліки,Препарати для лікування захворювань крові,Інші препарати для лікування захворювань крові,,Інші препарати для лікування захворювань крові,
5990,Медичні товари,Ліки,Препарати для лікування захворювань крові,Кровозамінники,,Кровозамінники,
5991,Медичні товари,Ліки,Препарати для лікування захворювань крові,Кровоспинні препарати,,Кровоспинні препарати,
5989,Медичні товари,Ліки,Препарати для лікування захворювань крові,Ліки від тромбозу,,Ліки від тромбозу,
5992,Медичні товари,Ліки,Препарати для лікування захворювань крові,Протианемічні препарати,,Протианемічні препарати,
5996,Медичні товари,Ліки,Препарати для лікування опорно-рухового апарату,Інші препарати для лікування опорно-рухового апарату,,Інші препарати для лікування опорно-рухового апарату,
5994,Медичні товари,Ліки,Препарати для лікування опорно-рухового апарату,Ліки від подагри,,Ліки від подагри,
5995,Медичні товари,Ліки,Препарати для лікування опорно-рухового апарату,Міорелаксанти,,Міорелаксанти,
5993,Медичні товари,Ліки,Препарати для лікування опорно-рухового апарату,Хондропротектори,,Хондропротектори,
5982,Медичні товари,Ліки,Препарати для лікування ШКТ,Засоби від печії,,Засоби від печії,
5983,Медичні товари,Ліки,Препарати для лікування ШКТ,Інші препарати для лікування ШКТ,,Інші препарати для лікування ШКТ,
5975,Медичні товари,Ліки,Препарати для лікування ШКТ,Ліки від дисбактеріозу,,Ліки від дисбактеріозу,
5979,Медичні товари,Ліки,Препарати для лікування ШКТ,Препарати від гастриту і виразки шлунка,,Препарати від гастриту і виразки шлунка,
5977,Медичні товари,Ліки,Препарати для лікування ШКТ,Препарати від діареї та отруєння,,Препарати від діареї та отруєння,
5976,Медичні товари,Ліки,Препарати для лікування ШКТ,Препарати від здуття,,Препарати від здуття,
5978,Медичні товари,Ліки,Препарати для лікування ШКТ,Препарати для поліпшення травлення,,Препарати для поліпшення травлення,
5980,Медичні товари,Ліки,Препарати для лікування ШКТ,Проносні та засоби від запору,,Проносні та засоби від запору,
5981,Медичні товари,Ліки,Препарати для лікування ШКТ,Спазмолітики,,Спазмолітики,
5997,Медичні товари,Ліки,Препарати для нервової системи,Запаморочення і порушення мозкового кровообігу,,Запаморочення і порушення мозкового кровообігу,
6001,Медичні товари,Ліки,Препарати для нервової системи,Засоби від захитування,,Засоби від захитування,
6003,Медичні товари,Ліки,Препарати для нервової системи,Заспокійливі та снодійні,,Заспокійливі та снодійні,
6004,Медичні товари,Ліки,Препарати для нервової системи,Інші препарати для лікування захворювань нервової системи,,Інші препарати для лікування захворювань нервової системи,
5999,Медичні товари,Ліки,Препарати для нервової системи,Ліки від епілепсії,,Ліки від епілепсії,
6002,Медичні товари,Ліки,Препарати для нервової системи,Препарати для поліпшення роботи ЦНС,,Препарати для поліпшення роботи ЦНС,
5998,Медичні товари,Ліки,Препарати для нервової системи,Препарати магнію,,Препарати магнію,
6000,Медичні товари,Ліки,Препарати для нервової системи,Протипаркінсонічні препарати,,Протипаркінсонічні препарати,
6046,Медичні товари,Ліки,Препарати для очей,Інші препарати для очей,,Інші препарати для очей,
5985,Медичні товари,Ліки,Препарати для очей,Ліки від катаракти і глаукоми,,Ліки від катаракти і глаукоми,
5987,Медичні товари,Ліки,Препарати для очей,Препарати від сухості очей,,Препарати від сухості очей,
5986,Медичні товари,Ліки,Препарати для очей,Препарати для поліпшення зору,,Препарати для поліпшення зору,
5988,Медичні товари,Ліки,Препарати для очей,Протизапальні препарати для очей,,Протизапальні препарати для очей,
6005,Медичні товари,Ліки,Препарати для печінки,Гепатопротектори,,Гепатопротектори,
6007,Медичні товари,Ліки,Препарати для печінки,Інші препарати для лікування печінки,,Інші препарати для лікування печінки,
6006,Медичні товари,Ліки,Препарати для печінки,"Препарати для жовчного міхура, жовчогінні препарати",,"Препарати для жовчного міхура, жовчогінні препарати",
6013,Медичні товари,Ліки,Препарати для серцево-судинної системи,Засоби від геморою,,Засоби від геморою,
6014,Медичні товари,Ліки,Препарати для серцево-судинної системи,Інші засоби для лікування серцево-судинної системи,,Інші засоби для лікування серцево-судинної системи,
6009,Медичні товари,Ліки,Препарати для серцево-судинної системи,Ліки від атеросклерозу,,Ліки від атеросклерозу,
6010,Медичні товари,Ліки,Препарати для серцево-судинної системи,Ліки від варикозу,,Ліки від варикозу,
6012,Медичні товари,Ліки,Препарати для серцево-судинної системи,Ліки від підвищеного тиску,,Ліки від підвищеного тиску,
6008,Медичні товари,Ліки,Препарати для серцево-судинної системи,Препарати для зміцнення судин,,Препарати для зміцнення судин,
6011,Медичні товари,Ліки,Препарати для серцево-судинної системи,Сечогінні засоби,,Сечогінні засоби,
6041,Медичні товари,Ліки,Препарати для чоловічого здоров'я,Для поліпшення потенції,,Для поліпшення потенції,
6042,Медичні товари,Ліки,Препарати для чоловічого здоров'я,Препарати для лікування передміхурової залози,,Препарати для лікування передміхурової залози,
6029,Медичні товари,Ліки,Протигрибкові препарати,Засоби від грибка нігтів і стопи,,Засоби від грибка нігтів і стопи,
6030,Медичні товари,Ліки,Протигрибкові препарати,Інші протигрибкові препарати,,Інші протигрибкові препарати,
7928,Медичні товари,Ліки,Протизапальні й знеболювальні  ліки,Знеболювальні для суглобів і м'язів,,Знеболювальні для суглобів і м'язів,
6028,Медичні товари,Ліки,Протизапальні й знеболювальні  ліки,Інші знеболювальні препарати,,Інші знеболювальні препарати,
6027,Медичні товари,Ліки,Протизапальні й знеболювальні  ліки,Ліки від мігрені,,Ліки від мігрені,
6026,Медичні товари,Ліки,Протизапальні й знеболювальні  ліки,Нестероїдні протизапальні засоби,,Нестероїдні протизапальні засоби,
7988,Медичні товари,Ліки,Протипухлинні препарати,,,Протипухлинні препарати,
5984,Медичні товари,Ліки,Стоматологічні препарати,Препарати для лікування стоматиту й гінгівіту,,Препарати для лікування стоматиту й гінгівіту,
6519,Медичні товари,Медичні меблі,Крісла медичні,,,Крісла медичні,
1403,Медичні товари,Медичні меблі,Масажні столи,,,Масажні столи,
6533,Медичні товари,Медичні меблі,Медичні ліжка,,,Медичні ліжка,
6520,Медичні товари,Медичні меблі,Медичні матраци та подушки,,,Медичні матраци та подушки,
8490,Медичні товари,Медичні меблі,Медичні ширми,,,Медичні ширми,
6861,Медичні товари,Медичні меблі,Столи медичні,,,Столи медичні,
6860,Медичні товари,Медичні меблі,Штативи медичні,,,Штативи медичні,
8912,Медичні товари,Медичні прилади,Аксесуари до слухових апаратів,,,Аксесуари до слухових апаратів,
7200,Медичні товари,Медичні прилади,Бактерицидні опромінювачі,,,Бактерицидні опромінювачі,
7887,Медичні товари,Медичні прилади,Домашня медтехніка,,,Домашня медтехніка,
7873,Медичні товари,Медичні прилади,Інгалятори,,,Інгалятори,
7168,Медичні товари,Медичні прилади,Кисневі концентратори,,,Кисневі концентратори,
3261,Медичні товари,Медичні прилади,Медичне приладдя,,,Медичне приладдя,
7872,Медичні товари,Медичні прилади,Пульсоксиметри,,,Пульсоксиметри,
7201,Медичні товари,Медичні прилади,Рециркулятори бактерицидні,,,Рециркулятори бактерицидні,
7237,Медичні товари,Медичні прилади,Слухові апарати,,,Слухові апарати,
6647,Медичні товари,Медичні прилади,Стетоскопи,,,Стетоскопи,
7885,Медичні товари,Медичні прилади,Термометри медичні,,,Термометри медичні,
6640,Медичні товари,Медичні прилади,Тонометри,,,Тонометри,
3270,Медичні товари,Оптика,Контактні лінзи,,,Контактні лінзи,
8207,Медичні товари,Оптика,Окуляри,Окуляри для зору,,Окуляри для зору,
8209,Медичні товари,Оптика,Окуляри,Окуляри для комп'ютера,,Окуляри для комп'ютера,
3273,Медичні товари,Оптика,Оправи для окулярів,,,Оправи для окулярів,
3271,Медичні товари,Оптика,Розчини для контактних лінз,,,Розчини для контактних лінз,
8463,Медичні товари,Оптика,Футляри для окулярів,,,Футляри для окулярів,
6609,Медичні товари,Ортопедичні вироби,Коректор постави,,,Коректор постави,
6634,Медичні товари,Ортопедичні вироби,Ортопедичні вироби для стопи,,,Ортопедичні вироби для стопи,
1385,Медичні товари,Термоконтейнери медичні,,,,Термоконтейнери медичні,
6648,Будівництво та ремонт,Автоматика для воріт,Автоматика для відкатних воріт,,,Автоматика для відкатних воріт,
6651,Будівництво та ремонт,Автоматика для воріт,Автоматика для гаражних воріт,,,Автоматика для гаражних воріт,
6650,Будівництво та ремонт,Автоматика для воріт,Автоматика для розпашних воріт,,,Автоматика для розпашних воріт,
6654,Будівництво та ремонт,Автоматика для воріт,Пульти для воріт,,,Пульти для воріт,
9518,Будівництво та ремонт,Будівельне кріплення,Аксесуари для хімічних анкерів,,,Аксесуари для хімічних анкерів,
4267,Будівництво та ремонт,Будівельне кріплення,Анкери,,,Анкери,
4269,Будівництво та ремонт,Будівельне кріплення,Дюбелі,,,Дюбелі,
4270,Будівництво та ремонт,Будівельне кріплення,Заклепки будівельні,,,Заклепки будівельні,
4296,Будівництво та ремонт,Будівельне кріплення,Клейкі стрічки,Протиковзкі стрічки,,Протиковзкі стрічки,
4297,Будівництво та ремонт,Будівельне кріплення,Клейкі стрічки,Самоклейкі тримачі,,Самоклейкі тримачі,
4293,Будівництво та ремонт,Будівельне кріплення,Кріпильні системи,Кріпильна система BIS,,Кріпильна система BIS,
8678,Будівництво та ремонт,Будівельне кріплення,Кріплення спеціальне,,,Кріплення спеціальне,
4298,Будівництво та ремонт,Будівельне кріплення,Ланцюги,,,Ланцюги,
4278,Будівництво та ремонт,Будівельне кріплення,Меблеве кріплення,Болти і гвинти меблеві,,Болти і гвинти меблеві,
4283,Будівництво та ремонт,Будівельне кріплення,Меблеве кріплення,Меблеві гайки та муфти,,Меблеві гайки та муфти,
4286,Будівництво та ремонт,Будівельне кріплення,Меблеве кріплення,Меблеві заглушки,,Меблеві заглушки,
4282,Будівництво та ремонт,Будівельне кріплення,Меблеве кріплення,Меблеві кутники,,Меблеві кутники,
4285,Будівництво та ремонт,Будівельне кріплення,Меблеве кріплення,Меблеві стяжки,,Меблеві стяжки,
4279,Будівництво та ремонт,Будівельне кріплення,Меблеве кріплення,Меблеві шурупи та конфірмати,,Меблеві шурупи та конфірмати,
4284,Будівництво та ремонт,Будівельне кріплення,Меблеве кріплення,Підвіси для шаф,,Підвіси для шаф,
4281,Будівництво та ремонт,Будівельне кріплення,Меблеве кріплення,Тримачі дзеркал,,Тримачі дзеркал,
4280,Будівництво та ремонт,Будівельне кріплення,Меблеве кріплення,Шканти,,Шканти,
4271,Будівництво та ремонт,Будівельне кріплення,Метричне кріплення,Болти,,Болти,
4272,Будівництво та ремонт,Будівельне кріплення,Метричне кріплення,Гайки,,Гайки,
8812,Будівництво та ремонт,Будівельне кріплення,Метричне кріплення,Гвинти,,Гвинти,
8811,Будівництво та ремонт,Будівельне кріплення,Метричне кріплення,Пружини,,Пружини,
4273,Будівництво та ремонт,Будівельне кріплення,Метричне кріплення,Шайби,,Шайби,
8774,Будівництво та ремонт,Будівельне кріплення,Метричне кріплення,Шпильки дворізьбові,,Шпильки дворізьбові,
8758,Будівництво та ремонт,Будівельне кріплення,Метричне кріплення,Шпильки різьбові,,Шпильки різьбові,
8759,Будівництво та ремонт,Будівельне кріплення,Метричне кріплення,Шплінти,,Шплінти,
8760,Будівництво та ремонт,Будівельне кріплення,Метричне кріплення,Штифти метричні,,Штифти метричні,
4607,Будівництво та ремонт,Будівельне кріплення,Мотузки,,,Мотузки,
6643,Будівництво та ремонт,Будівельне кріплення,Неодимові магніти,,,Неодимові магніти,
8641,Будівництво та ремонт,Будівельне кріплення,Перфороване кріплення,Кріплення балок,,Кріплення балок,
4268,Будівництво та ремонт,Будівельне кріплення,Перфороване кріплення,Куточки кріпильні,,Куточки кріпильні,
8674,Будівництво та ремонт,Будівельне кріплення,Перфороване кріплення,Кріплення для колон,,Кріплення для колон,
8642,Будівництво та ремонт,Будівельне кріплення,Перфороване кріплення,Перфоровані стрічки,,Перфоровані стрічки,
8644,Будівництво та ремонт,Будівельне кріплення,Перфороване кріплення,Пластини кріпильні,,Пластини кріпильні,
8728,Будівництво та ремонт,Будівельне кріплення,Регульовані опори для терас,,,Регульовані опори для терас,
9028,Будівництво та ремонт,Будівельне кріплення,Ручки затискні,,,Ручки затискні,
4275,Будівництво та ремонт,Будівельне кріплення,Саморізи,,,Саморізи,
4290,Будівництво та ремонт,Будівельне кріплення,Сантехнічне кріплення,Кріплення для умивальників,,Кріплення для умивальників,
4289,Будівництво та ремонт,Будівельне кріплення,Сантехнічне кріплення,Кріплення для унітазів,,Кріплення для унітазів,
8663,Будівництво та ремонт,Будівельне кріплення,Скоби будівельні,,,Скоби будівельні,
4300,Будівництво та ремонт,Будівельне кріплення,Стропи,,,Стропи,
4302,Будівництво та ремонт,Будівельне кріплення,Такелаж,Блоки підйомні,,Блоки підйомні,
4303,Будівництво та ремонт,Будівельне кріплення,Такелаж,Вертлюги,,Вертлюги,
4308,Будівництво та ремонт,Будівельне кріплення,Такелаж,Гаки кранові,,Гаки кранові,
4305,Будівництво та ремонт,Будівельне кріплення,Такелаж,Затискачі для тросів,,Затискачі для тросів,
4306,Будівництво та ремонт,Будівельне кріплення,Такелаж,Карабіни такелажні,,Карабіни такелажні,
4307,Будівництво та ремонт,Будівельне кріплення,Такелаж,Коуші,,Коуші,
4304,Будівництво та ремонт,Будівельне кріплення,Такелаж,Рим-болти та гайки,,Рим-болти та гайки,
4309,Будівництво та ремонт,Будівельне кріплення,Такелаж,Скоби такелажні,,Скоби такелажні,
4310,Будівництво та ремонт,Будівельне кріплення,Такелаж,Талрепи,,Талрепи,
6886,Будівництво та ремонт,Будівельне кріплення,Технічні тканини,,,Технічні тканини,
4299,Будівництво та ремонт,Будівельне кріплення,Троси (канати сталеві),,,Троси (канати сталеві),
8726,Будівництво та ремонт,Будівельне кріплення,Фурнітура для тентів,,,Фурнітура для тентів,
4291,Будівництво та ремонт,Будівельне кріплення,Хімічні анкери,,,Хімічні анкери,
4287,Будівництво та ремонт,Будівельне кріплення,Хомути металеві,,,Хомути металеві,
4274,Будівництво та ремонт,Будівельне кріплення,Цвяхи,,,Цвяхи,
4276,Будівництво та ремонт,Будівельне кріплення,Шурупи,,,Шурупи,
3967,Будівництво та ремонт,Будівельні матеріали,Блоки будівельні,Бетонний блок,,Бетонний блок,
3964,Будівництво та ремонт,Будівельні матеріали,Блоки будівельні,Газобетонний блок,,Газобетонний блок,
3965,Будівництво та ремонт,Будівельні матеріали,Блоки будівельні,Керамічний блок,,Керамічний блок,
8737,Будівництво та ремонт,Будівельні матеріали,Блоки будівельні,Термоблоки,,Термоблоки,
3961,Будівництво та ремонт,Будівельні матеріали,Будівельна сітка та плівка,Плівка поліетиленова,,Плівка поліетиленова,
3960,Будівництво та ремонт,Будівельні матеріали,Будівельна сітка та плівка,Серп'янка,,Серп'янка,
3959,Будівництво та ремонт,Будівельні матеріали,Будівельна сітка та плівка,Сітка зварна,,Сітка зварна,
3956,Будівництво та ремонт,Будівельні матеріали,Будівельна сітка та плівка,Склополотно,,Склополотно,
3957,Будівництво та ремонт,Будівельні матеріали,Будівельна сітка та плівка,Склосітка,,Склосітка,
4038,Будівництво та ремонт,Будівельні матеріали,Будівельна хімія,Антисептик для мінеральних поверхонь,,Антисептик для мінеральних поверхонь,
4037,Будівництво та ремонт,Будівельні матеріали,Будівельна хімія,Бетоноконтакт,,Бетоноконтакт,
4030,Будівництво та ремонт,Будівельні матеріали,Будівельна хімія,Герметики,,Герметики,
4036,Будівництво та ремонт,Будівельні матеріали,Будівельна хімія,Ґрунтовка,,Ґрунтовка,
4031,Будівництво та ремонт,Будівельні матеріали,Будівельна хімія,Добавки до бетону,,Добавки до бетону,
6560,Будівництво та ремонт,Будівельні матеріали,Будівельна хімія,Епоксидна смола,,Епоксидна смола,
4035,Будівництво та ремонт,Будівельні матеріали,Будівельна хімія,Мастика,,Мастика,
4034,Будівництво та ремонт,Будівельні матеріали,Будівельна хімія,Очистка та захист фасадів,,Очистка та захист фасадів,
4032,Будівництво та ремонт,Будівельні матеріали,Будівельна хімія,Пігменти до розчину,,Пігменти до розчину,
4029,Будівництво та ремонт,Будівельні матеріали,Будівельна хімія,Піна монтажна,,Піна монтажна,
4033,Будівництво та ремонт,Будівельні матеріали,Будівельна хімія,Рідке скло,,Рідке скло,
6665,Будівництво та ремонт,Будівельні матеріали,Будівельні суміші,Бетон і готові будівельні розчини,,Бетон і готові будівельні розчини,
5049,Будівництво та ремонт,Будівельні матеріали,Будівельні суміші,Вапно,,Вапно,
3945,Будівництво та ремонт,Будівельні матеріали,Будівельні суміші,Вогнетривкі суміші,,Вогнетривкі суміші,
3946,Будівництво та ремонт,Будівельні матеріали,Будівельні суміші,Гідроізоляція,,Гідроізоляція,
3948,Будівництво та ремонт,Будівельні матеріали,Будівельні суміші,Гіпс будівельний,,Гіпс будівельний,
3940,Будівництво та ремонт,Будівельні матеріали,Будівельні суміші,Декоративна штукатурка,,Декоративна штукатурка,
3953,Будівництво та ремонт,Будівельні матеріали,Будівельні суміші,Керамзит,,Керамзит,
3944,Будівництво та ремонт,Будівельні матеріали,Будівельні суміші,Кладочні суміші,,Кладочні суміші,
3949,Будівництво та ремонт,Будівельні матеріали,Будівельні суміші,Крейда будівельна,,Крейда будівельна,
3951,Будівництво та ремонт,Будівельні матеріали,Будівельні суміші,Пісок,,Пісок,
3943,Будівництво та ремонт,Будівельні матеріали,Будівельні суміші,Ремонтні суміші,,Ремонтні суміші,
3942,Будівництво та ремонт,Будівельні матеріали,Будівельні суміші,Самовирівнювальна підлога,,Самовирівнювальна підлога,
3941,Будівництво та ремонт,Будівельні матеріали,Будівельні суміші,Стяжка,,Стяжка,
3954,Будівництво та ремонт,Будівельні матеріали,Будівельні суміші,Фібра будівельна,,Фібра будівельна,
3950,Будівництво та ремонт,Будівельні матеріали,Будівельні суміші,Цемент,,Цемент,
3939,Будівництво та ремонт,Будівельні матеріали,Будівельні суміші,Шпаклівка,,Шпаклівка,
3938,Будівництво та ремонт,Будівельні матеріали,Будівельні суміші,Штукатурка,,Штукатурка,
3952,Будівництво та ремонт,Будівельні матеріали,Будівельні суміші,Щебінь,,Щебінь,
4020,Будівництво та ремонт,Будівельні матеріали,Гіпсокартонні системи,Гіпсокартон,,Гіпсокартон,
4024,Будівництво та ремонт,Будівельні матеріали,Гіпсокартонні системи,Кріплення для гіпсокартону,,Кріплення для гіпсокартону,
4026,Будівництво та ремонт,Будівельні матеріали,Гіпсокартонні системи,Кутники штукатурні,,Кутники штукатурні,
4025,Будівництво та ремонт,Будівельні матеріали,Гіпсокартонні системи,Маяки штукатурні,,Маяки штукатурні,
4023,Будівництво та ремонт,Будівельні матеріали,Гіпсокартонні системи,Профіль для гіпсокартону,,Профіль для гіпсокартону,
4027,Будівництво та ремонт,Будівельні матеріали,Гіпсокартонні системи,Стрічки звукоізоляційні,,Стрічки звукоізоляційні,
3982,Будівництво та ремонт,Будівельні матеріали,Залізобетонні вироби,,,Залізобетонні вироби,
4045,Будівництво та ремонт,Будівельні матеріали,Клей,Клей для гіпсокартону,,Клей для гіпсокартону,
4049,Будівництво та ремонт,Будівельні матеріали,Клей,Клей для підлогового покриття,,Клей для підлогового покриття,
4050,Будівництво та ремонт,Будівельні матеріали,Клей,Клей для паркету,,Клей для паркету,
4046,Будівництво та ремонт,Будівельні матеріали,Клей,Клей для плитки,,Клей для плитки,
